file_name;classes;text;bow_preproc;gboed_preproc;gboed_freq_class;gboed_dist_class
1736760.txt;concedido;Preciso do resultado do concurso público realizado no ano 1997 para o cargo de analista de finanças e controle - CGU, para as vagas destinadas para Cuiabá/MT.  Agradeço.;precis result concurs public realiz ano carg anal financ control cgu vag cuiabamt agradec;<preciso de ajuda><DT> do <resultado><PT> do <concurso><PT> realizado no ano 1997 para o <cargos efetivos><PT> de <auditor federal de finanças e controle><PT> cgu para as <vagas><PT> destinadas para cuiabá mt . agradeço .;concedido;concedido
1856021.txt;concedido;O simulador de aposentadoria do site da CGU (http://www.cgu.gov.br/simulador) retorna as datas 09/02/1982 a 12/04/82 como 63 dias, mas por extenso diz que são 2 meses e 4 dias. A certidão de tempo de serviço do INSS retorna o mesmo valor por extenso, 2 meses e 4 dias. Gostaria de saber qual a fórmula ou equação utilizada para esse cálculo. ATT.  ;simul sit cgu http retorn dat dias extens diz sao mes dias certida temp servic inss retorn valor extens mes dias gost sab formul equaca utiliz calcul att;o simulador de <simular a aposentadoria><PT> do site da cgu http   www cgu gov br simulador retorna as datas 09 02 1982 a 12 04 82 como 63 <data de atualização><PT> mas por extenso diz que são 2 meses e 4 <data de atualização><PT> . a <certidão><PT> de tempo de serviço do inss retorna o mesmo <valor><PT> por extenso 2 meses e 4 <data de atualização><PT> . <gostaria><DT> de <saber><DT> <qual><DT> a <valor><PT> ou <valor><PT> utilizada para esse <valor><PT> . att .;concedido;concedido
1694996.txt;concedido;Solicito informações quanto a investigação em curso da CGU na Prefeitura Municipal de Lavras da Mangabeira na gestão atual (2013/2016). Qual ou quais, os objetos dessa investigação na Prefeitura de Lavras da Mangabeira.;solicit curs cgu municipal lavr gesta atual objet lavr;<solicito><DT> informações <quanto><DT> a <investigação preliminar><NT> <em trâmite><NT> da cgu na prefeitura municipal de lavras da mangabeira na gestão atual 2013 2016 . <qual><DT> ou <qual><DT> os objetos dessa <investigação preliminar><NT> na prefeitura de lavras da mangabeira .;negado;negado
1857444.txt;concedido;Lista de servidores incluídos no Sistema Eletrônico de Prevenção de Conflitos de Interesse (SeCI)e autorizados a exercer consultoria arqueológica no processo de licenciamento ambiental.;list inclu sistem prevenca conflit inter sec exerc process ambiental;lista de <profissionais><PT> incluídos no sistema eletrônico de prevenção de conflitos de interesse <sistema eletrônico de prevenção de conflitos de interesses><PT> e autorizados a exercer consultoria arqueológica no processo de licenciamento ambiental .;neutro;neutro
1787735.txt;concedido; Gostaria de saber:  1) a quantidade de cargos efetivos existem para o cargo de analista na área de engenharia civil na Câmara dos Deputados, na CGU, no TSE e na Câmara legislativa do DF,   2) Quanto desses cargos estão ocupados,  3) Quanto desses cargos estão vagos.;gost sab carg efet exist carg anal are civil cam deput cgu tse cam carg esta ocup carg esta vag;<gostaria><DT> de <saber><DT> 1 a <quantidade><PT> de <cargos efetivos><PT> existem para o <cargos efetivos><PT> de <auditor federal de finanças e controle><PT> na <cadastro><PT> de engenharia civil na câmara dos deputados na cgu no tse e na câmara legislativa do df 2 <quanto><DT> desses <cargos efetivos><PT> estão ocupados 3 <quanto><DT> desses <cargos efetivos><PT> estão vagos .;concedido;concedido
1703247.txt;concedido;Solicito indicação e disponibilização de todos os relatórios de auditoria de avaliação de governança de qualquer política pública do Governo Federal concluído pela CGU nos últimos cinco anos.;solicit indicaca auditor avaliaca polit public govern federal conclu cgu ultim anos;<solicito><DT> indicação e disponibilização de todos os <relatório de auditoria><NT> de <valor><PT> de governança de qualquer política pública do governo federal concluído pela cgu nos últimos cinco anos .;neutro;negado
1771873.txt;concedido;Prezado responsável,  Gostaria do acesso à informação sobre concurso público, dentre as informações as listadas abaixo: a) A CGU vai abrir concurso público para o cargo de psicólogo (2 vagas)? b) A CGU vai abrir o concurso público para o cargo de psicólogo (2 vagas) esse ano? c) Quais são as atribuições do psicólogo que serve a CGU?  Obrigada, aguardando resposta. Juliana Renz;prez gost acess concurs public list cgu vai abrir concurs public carg psicolog vag cgu vai abrir concurs public carg psicolog vag ano sao psicolog serv cgu obrig respost julian renz;prezado responsável <gostaria><DT> do <acesso><DT> à informação sobre <concurso><PT> dentre as informações as listadas abaixo a a cgu vai abrir <concurso><PT> para o <cargos efetivos><PT> de psicólogo 2 <vagas><PT> . b a cgu vai abrir o <concurso><PT> para o <cargos efetivos><PT> de psicólogo 2 <vagas><PT> esse ano . c <qual><DT> são as <auditor federal de finanças e controle><PT> do psicólogo que serve a cgu . obrigada aguardando <resposta><PT> . juliana renz .;concedido;concedido
1698389.txt;concedido;Procurei um link no e-SIC que me possibilite pedir orientação sobre como questionar as informações não recebidas pelas instituições publicas que solicitaram um tempo maior, mas algumas já tem dois meses. Como lidar com isso? Peço a gentileza de encaminhar esta mensagem para o órgão que possa me orientar. Atenciosamente Mauro Machado Vieira;procur link sic ped receb public temp maior tem mes lid pec gentil mensag orga poss orient maur mach vieir;procurei um <link><PT> no <e sic><PT> que me possibilite pedir orientação sobre como questionar as informações não recebidas pelas instituições publicas que solicitaram um <prorrogação de prazo><PT> mas algumas já tem dois meses . como lidar com isso . <solicito><DT> a gentileza de <encaminhar><DT> esta mensagem para o <órgãos><PT> que possa me orientar . atenciosamente mauro machado vieira .;concedido;concedido
1867629.txt;concedido;Gostaria de saber o número de funcionários na CGU, para realizar trabalho acadêmico (folha de pagamento e encargos sociais de toda a estrutura).;gost sab numer cgu realiz trabalh academ folh pagament encarg soc estrutur;<gostaria><DT> de <saber><DT> o <servidores><PT> na cgu para realizar <ações><PT> acadêmico <remuneração><PT> e encargos sociais de toda a <organograma><PT> .;concedido;concedido
1858001.txt;concedido;"Prezado (a), boa noite  Formulei pedido de informação junto ao MEC, que foi objeto de recursos e atualmente tramita perante esta Controladoria-Geral da União (atual ""Ministério da Transparência, Fiscalização e Controle""), cuja relação dos recursos e número do pedido encontra-se no relatório em anexo.  Formulo o presente pedido porque já foi ultrapassado o prazo de 60 dias para resposta pela CGU. Não houve qualquer justificativa ou pedido de prorrogação deste prazo no sistema.  Peço, por gentileza, que avaliem meu pedido com a devida diligência.  Obrigada";prez boa noit formul ped junt mec foi objet recurs tramit geral unia atual control relaca recurs numer ped encontr relatori anex formul present ped foi praz dias respost cgu houv ped praz sistem pec gentil avali ped dev obrig;prezado a boa noite formulei <pedidos><PT> junto ao mec que foi objeto de recursos e atualmente tramita perante esta controladoria geral da união atual    ministério da transparência fiscalização e controle    cuja relação dos recursos e <número><PT> do <pedidos><PT> encontra se no relatório em <anexo><PT> . formulo o presente <pedidos><PT> <por que><DT> já foi ultrapassado o <prorrogação de prazo><PT> de 60 <data de atualização><PT> para <resposta><PT> pela cgu . não houve qualquer justificativa ou <pedidos><PT> de prorrogação deste <prorrogação de prazo><PT> no <e sic><PT> . <solicito><DT> por gentileza que avaliem meu <pedidos><PT> com a devida <informação pessoal><NT> . obrigada .;concedido;concedido
1851757.txt;concedido;Prezados,  Gostaria de saber algumas questões acerca do Portal de Transparência que não tenho encontrado nos sites de busca e nos sites do governo.  1) A Criação dos portais da transparência se baseou em que? 2) Quais os parametros utilizados para medir grau de transparência?  3) Quais instrumentos/documentos que norteiam a política de transparência? 4) Os portais dos estados brasileiros tem atendido aos critérios estabelecidos de transparência?  Obrigada.  ;prez gost sab questo portal tenh sit busc sit govern criaca port bas med grau nort polit port estad tem atend criteri obrig;prezados <gostaria><DT> de <saber><DT> algumas questões acerca do <portal de transparência><PT> que não tenho encontrado nos sites de busca e nos sites do governo . 1 a criação dos <portal de transparência><PT> da transparência se baseou em que . 2 <qual><DT> os <valor><PT> utilizados para medir <portal de transparência><PT> . 3 <qual><DT> instrumentos documentos que norteiam a política de transparência . 4 os <portal de transparência><PT> dos estados brasileiros tem atendido aos <valor><PT> estabelecidos de transparência . obrigada .;concedido;concedido
1857745.txt;concedido;Prezado(a), boa tarde.  Sou acadêmico de contabilidade e gostaria de saber como faço para ter acesso aos valores registrados por Entidades não - governamentais como recebido por Ente Público para realização das atividades de auxilio social. Existe uma escala demonstrando se tais entidades (ONGS) respeitam à LAI?   Obrigado pela ajuda.;prez boa tard sou academ gost sab fac ter acess valor entidad receb ente public auxili social exist escal entidad ongs respeit lai obrig ajud;prezado a boa tarde . sou acadêmico de contabilidade e <gostaria><DT> de <saber><DT> como faço para ter <acesso><DT> aos <valor><PT> registrados por entidades não governamentais como recebido por ente público para realização <cargos efetivos><PT> <ações><PT> de auxilio social . <existe><DT> uma <programa brasil transparente><PT> demonstrando se tais entidades <ong><PT> respeitam à lai . obrigado pela ajuda .;concedido;concedido
